#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
   2016      4.47e+00    4.75e+00      3.52e-02    3.42e-02      1.41e-01    1.50e-01    1.0e-03
   2025      4.16e+00    4.50e+00      5.06e-02    4.87e-02      1.32e-01    1.42e-01    1.0e-03
   2034      5.71e+00    4.54e+00      4.13e-02    3.99e-02      1.81e-01    1.44e-01    1.0e-03
   2043      4.68e+00    4.86e+00      5.77e-02    5.72e-02      1.48e-01    1.54e-01    1.0e-03
   2052      4.44e+00    4.57e+00      3.03e-02    2.86e-02      1.40e-01    1.44e-01    1.0e-03
   2061      4.45e+00    4.49e+00      2.97e-03    3.52e-03      1.41e-01    1.42e-01    1.0e-03
   2070      4.17e+00    4.75e+00      1.74e-02    1.74e-02      1.32e-01    1.50e-01    1.0e-03
   2079      4.41e+00    4.57e+00      1.23e-02    1.26e-02      1.40e-01    1.44e-01    1.0e-03
   2088      4.50e+00    4.40e+00      6.08e-03    6.55e-03      1.42e-01    1.39e-01    1.0e-03
   2097      4.29e+00    4.43e+00      6.10e-03    7.49e-03      1.36e-01    1.40e-01    1.0e-03
   2106      4.05e+00    4.52e+00      1.01e-02    9.74e-03      1.28e-01    1.43e-01    1.0e-03
   2115      4.75e+00    4.62e+00      1.97e-02    1.95e-02      1.50e-01    1.46e-01    1.0e-03
   2124      4.80e+00    4.20e+00      3.17e-02    3.03e-02      1.52e-01    1.33e-01    1.0e-03
   2133      4.80e+00    5.11e+00      2.16e-02    2.15e-02      1.52e-01    1.62e-01    1.0e-03
   2142      4.85e+00    4.77e+00      1.28e-02    1.41e-02      1.53e-01    1.51e-01    1.0e-03
   2151      5.47e+00    5.16e+00      3.50e-03    2.52e-03      1.73e-01    1.63e-01    1.0e-03
   2160      4.66e+00    4.49e+00      1.58e-02    1.54e-02      1.47e-01    1.42e-01    1.0e-03
   2169      4.59e+00    4.81e+00      9.77e-03    8.43e-03      1.45e-01    1.52e-01    1.0e-03
   2178      3.99e+00    4.31e+00      6.59e-03    6.02e-03      1.26e-01    1.36e-01    1.0e-03
   2187      5.53e+00    4.46e+00      2.20e-02    2.27e-02      1.75e-01    1.41e-01    1.0e-03
   2196      4.16e+00    4.37e+00      8.63e-03    8.66e-03      1.31e-01    1.38e-01    1.0e-03
   2205      3.75e+00    4.34e+00      1.42e-02    1.29e-02      1.19e-01    1.37e-01    1.0e-03
   2214      5.18e+00    4.88e+00      1.06e-02    9.33e-03      1.64e-01    1.54e-01    1.0e-03
