Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
21.5500       -451.3687    -454.0567       2.6880   335.4
21.6000       -451.6406    -453.7466       2.1061   262.8
21.6500       -451.3887    -454.1292       2.7405   342.0
21.7000       -451.2651    -453.7041       2.4390   304.3
21.7500       -451.5371    -453.5929       2.0558   256.5
21.8000       -451.5841    -454.0322       2.4481   305.5
21.8500       -451.5344    -453.8076       2.2732   283.6
21.9000       -451.6932    -454.1876       2.4944   311.2
21.9500       -451.8829    -454.0097       2.1268   265.4
22.0000       -452.3756    -454.4944       2.1188   264.4
22.0500       -452.4286    -454.4040       1.9755   246.5
22.1000       -451.9087    -454.2265       2.3178   289.2
22.1500       -451.9926    -454.1661       2.1736   271.2
22.2000       -451.5203    -453.8292       2.3089   288.1
22.2500       -451.2662    -453.7460       2.4798   309.4
22.3000       -451.0889    -453.9045       2.8155   351.3
22.3500       -451.4903    -453.9480       2.4577   306.7
22.4000       -451.1935    -453.9671       2.7736   346.1
22.4500       -451.9995    -454.1315       2.1320   266.0
22.5000       -452.2521    -454.1221       1.8700   233.3
22.5500       -451.9185    -453.9461       2.0276   253.0
22.6000       -452.0944    -454.2775       2.1831   272.4
22.6500       -451.8227    -454.0143       2.1916   273.5
22.7000       -452.3437    -454.2223       1.8786   234.4
22.7500       -452.2965    -454.4326       2.1361   266.5
22.8000       -452.0118    -453.9690       1.9572   244.2
22.8500       -451.7444    -453.7803       2.0359   254.0
22.9000       -451.7692    -454.3758       2.6065   325.2
22.9500       -451.5646    -453.8747       2.3100   288.2
23.0000       -451.3951    -453.8296       2.4344   303.8
23.0500       -451.4647    -453.9669       2.5022   312.2
23.1000       -451.4561    -453.8795       2.4234   302.4
23.1500       -451.8669    -454.2704       2.4036   299.9
23.2000       -452.2537    -454.4743       2.2206   277.1
23.2500       -452.2851    -454.4452       2.1601   269.5
23.3000       -452.2514    -454.3848       2.1334   266.2
23.3500       -451.8206    -453.9685       2.1478   268.0
23.4000       -451.3898    -453.7126       2.3228   289.8
23.4500       -451.5163    -453.9652       2.4489   305.6
23.5000       -451.5587    -453.7741       2.2155   276.4
23.5500       -451.7276    -454.1362       2.4086   300.6
